Category,Data Item,FY 2025,FY 2024,FY 2023
Portfolio Count,Retail Properties,155,155,155
Portfolio Count,Office Properties,4,4,4
Portfolio Count,Self-Storage Properties,14,11,8
Portfolio Count,Residential Properties,3,3,3
Portfolio Count,Industrial Properties,1,1,1
Portfolio Count,Properties Under Development,21,21,20
Portfolio Count,Total Property Interests,198,195,191
Operational,Gross Leasable Area (sq. ft. in thousands),35585,35300,35045
Operational,In-place & Committed Occupancy Rate,98.6%,98.7%,98.5%
Operational,Average Lease Term to Maturity (Years),4.3,4.2,4.3
Operational,Retail Rental Rate (per sq. ft. ex. Anchors),24.23,23.48,22.59
Balance Sheet,Investment Properties ($'000),10852939,10659783,10564269
Balance Sheet,Total Unencumbered Assets ($'000),10030521,9464521,9170121
Balance Sheet,NAV per Unit - Diluted,35.93,36.03,36.40
Solvency/Debt,Debt to Aggregate Assets (%),44.4%,43.7%,43.1%
Solvency/Debt,Adjusted Debt to Adjusted EBITDA,9.7X,9.6X,9.6X
Solvency/Debt,Weighted Average Interest Rate (%),4.00%,3.92%,4.15%
Solvency/Debt,Weighted Average Debt Term (Years),3.4,3.1,3.6
Solvency/Debt,Interest Coverage Ratio,2.6X,2.5X,2.7X
Equity Units,Total Units Outstanding (Basic),178325977,178201075,178188148
Equity Units,Total Units Outstanding (Diluted),182242010,181205536,180108234
