Metric Category,Financial Line Item,Q4 2025,Q4 2024,Full Year 2025,Full Year 2024
Core Revenue,Rentals from Investment Properties & Other,234170,229743,913913,918359
GAAP Performance,Net Income and Comprehensive Income,130113,141850,310755,292070
GAAP Performance,Cash Flows from Operating Activities,127344,122118,377441,374208
GAAP Performance,Net Rental Income and Other,143574,141580,563042,547508
Non-GAAP NOI,Net Operating Income (NOI),150697,148614,592551,572536
Non-GAAP NOI,Same Properties NOI (SPNOI),148166,144030,576630,556320
Non-GAAP NOI,SPNOI Growth Rate (%),2.90%,3.80%,3.70%,2.80%
Non-GAAP NOI,SPNOI Growth Rate (Excl. Anchors),5.10%,6.00%,5.60%,4.60%
Real Estate KPIs,Funds From Operations (FFO),98435,96645,413838,402556
Real Estate KPIs,Adjusted FFO (AFFO),86999,85004,369989,359396
Real Estate KPIs,Diluted FFO per Unit,0.54,0.53,2.27,2.23
Real Estate KPIs,Diluted AFFO per Unit,0.48,0.47,2.03,1.99
Payout Health,Payout Ratio to AFFO (%),94.80%,97.00%,89.20%,91.70%
Payout Health,Payout Ratio to Operating Cash Flows,64.80%,67.50%,87.40%,88.10%
